"musica";"musica_parecida";"nivel_de_similaridade"
"See You Again (feat. Kali Uchis) - Tyler, The Creator, Kali Uchis";"I Remember Everything (feat. Kacey Musgraves)";86,8332940627016
"squabble up - Kendrick Lamar";"Gang Baby";86,8209767538326
"Scorsese Baby Daddy - SZA";"Pink Pony Club";86,7833856419024
"Scorsese Baby Daddy - SZA";"Pink Pony Club";86,7833856419024
"A Bar Song (Tipsy) - Shaboozey";"NIGHTS LIKE THIS";86,685964392042
"Espresso - Sabrina Carpenter";"Loco";86,6514015783846
"Snooze - SZA";"Pink Skies";86,651090212242
"Timeless - The Weeknd";"Sweater Weather";86,6123575886785
"See You Again (feat. Kali Uchis) - Tyler, The Creator, Kali Uchis";"Please Please Please";86,5549163540285
"Snooze - SZA";"Lose Control";86,5110787051527
"That's So True - Gracie Abrams";"PIToRRO DE COCO";86,5105699278975
"Funny Papers - Mac Miller";"Stoned";86,4718607097886
"squabble up - Kendrick Lamar";"Bed Chem";86,4705585126172
"Lovin On Me - Jack Harlow";"Bed Chem";86,4534608290899
"Gang Baby - NLE Choppa";"squabble up";86,434460056345
"Sports car - Tate McRae";"Tweaker";86,4073225299797
"Open Hearts - The Weeknd";"A Bar Song (Tipsy)";86,3620271694937
"MILLION DOLLAR BABY - Tommy Richman";"squabble up";86,3457911749883
"Pink Pony Club - Chappell Roan";"I'm The Problem";86,3384440192449
"Pink Pony Club - Chappell Roan";"I'm The Problem";86,3384440192449
"Stick Season - Noah Kahan";"30 For 30 (with Kendrick Lamar)";86,3232929531458
"Sweater Weather - The Neighbourhood";"PIToRRO DE COCO";86,3182493620708
"Sailor Song - Gigi Perez";"Saturn";86,3160875576512
"Bed Chem - Sabrina Carpenter";"NIGHTS LIKE THIS";86,2915013624389
"Mr. Brightside - The Killers";"505";86,2638091849715
"I Love You, I'm Sorry - Gracie Abrams";"Pink Skies";86,2577387604636
"30 For 30 (with Kendrick Lamar) - SZA, Kendrick Lamar";"Stick Season";86,2409836749187
"Bed Chem - Sabrina Carpenter";"5 Dollar Pony Rides";86,2404526863697
"Good Luck, Babe! - Chappell Roan";"See You Again (feat. Kali Uchis)";86,206713058724
"Please Please Please - Sabrina Carpenter";"luther (with sza)";86,2022922328822
"Again - Fetty Wap";"Open Hearts";86,1999648767276
"PIToRRO DE COCO - Bad Bunny";"Sweater Weather";86,1902585191476
"Sports car - Tate McRae";"Love Somebody";86,1814117894113
"Saturn - SZA";"Another Life";86,1747724323462
"I Remember Everything (feat. Kacey Musgraves) - Zach Bryan, Kacey Musgraves";"See You Again (feat. Kali Uchis)";86,1298470845564
